City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
361,Astoria,US,49.86,broken clouds,46.1879,-123.8313,Best Western Astoria Bayfront Hotel
362,Bengkulu,ID,76.28,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
366,Sept-Iles,CA,46.83,broken clouds,50.2001,-66.3821,Comfort Inn
367,Ludza,LV,45.73,light rain,56.55,27.7167,"Viesnīca ""Ludza"""
369,Sars,RU,51.3,overcast clouds,56.5502,57.1366,Gostinitsa Vizit
372,Coihaique,CL,65.01,clear sky,-45.5752,-72.0662,Diego De Almagro Coyhaique
373,Thatta,PK,79.56,clear sky,24.7475,67.9235,We Care Guest House & Shadi lawn
377,Ushtobe,KZ,56.66,clear sky,45.2514,77.9838,Filipin Squad
378,Safaga,EG,73.18,clear sky,26.7292,33.9365,Lamar Resort Abu Soma
380,Alekseyevka,RU,45.14,overcast clouds,50.6309,38.6903,Apartment on Ploshchad Pobedy
381,Shache,CN,66.7,clear sky,38.4167,77.2406,Delong Hotel
382,Valparaiso,CL,58.48,broken clouds,-33.0393,-71.6273,Hotel Ultramar
383,Manokwari,ID,77.77,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
384,Asau,RO,46.96,light rain,46.4333,26.4,Casa Mika Ciobanus
385,Flinders,AU,66.38,scattered clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
387,Port Macquarie,AU,64.89,scattered clouds,-31.4333,152.9167,Rydges Port Macquarie
388,Uspenka,UA,46.72,overcast clouds,48.3903,39.1619,"Санаторий-профилакторий ""Парус"""
389,Toktogul,KG,57.83,clear sky,41.8708,72.9402,KAGAN
394,Itarema,BR,78.46,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
396,Menongue,AO,61.39,broken clouds,-14.6585,17.691,Ritz Lauca
397,Namibe,AO,75.65,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
398,Claveria,PH,76.14,scattered clouds,18.6074,121.0832,Casa Grand Inn By The Sea
399,Eureka,US,56.12,broken clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
400,Riyadh,SA,78.94,overcast clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
404,Ullapool,GB,52.36,overcast clouds,57.8987,-5.1604,Argyll Hotel
406,Jiuquan,CN,42.31,scattered clouds,39.7432,98.5174,Jiuquan Hotel
407,Rock Sound,BS,76.08,clear sky,24.9,-76.2,Pink Corral Bay Property
408,Surab,PK,63.41,clear sky,28.4914,66.2585,Bismillah Hotel
411,Atar,MR,78.03,clear sky,20.5169,-13.0499,Oumou Elghoura
412,Broome,US,54.55,overcast clouds,42.2506,-75.833,Chenango Valley State Park
414,Chipping Sodbury,GB,53.74,overcast clouds,51.5381,-2.3938,The Moda House
415,Zambezi,ZM,68.25,overcast clouds,-13.5432,23.1047,Royal Kutachika Lodge
416,Faya,SA,62.71,scattered clouds,18.3851,42.4509,املاك خالد الشعشوع
417,Pirassununga,BR,73.06,broken clouds,-21.9961,-47.4258,Hotel Premium Pirassununga
420,Ambositra,MG,60.22,overcast clouds,-20.5167,47.25,Grand Hôtel
421,La Tuque,CA,43.05,overcast clouds,47.4334,-72.7824,Appart-Hôtel La Tuque
422,Osmena,PH,78.96,broken clouds,10.5208,119.9258,Arjemarkyza Lodge
424,Lithgow,AU,51.48,few clouds,-33.4833,150.15,Zig Zag Motel Lithgow
426,Nabire,ID,77.09,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
427,San Rafael,AR,70.57,clear sky,-34.6177,-68.3301,Hotel San Rafael
432,Boyle,US,62.82,clear sky,37.6334,-84.8666,Chaplin Hill Bed and Breakfast
434,Hanover,DE,52.38,broken clouds,52.3705,9.7332,Central Hotel Kaiserhof
436,Moose Factory,CA,41.0,overcast clouds,51.2585,-80.6094,Moosonee Lilypad
437,Necochea,AR,54.75,clear sky,-38.5473,-58.7368,dyd -mar Hotel
438,Batemans Bay,AU,63.1,scattered clouds,-35.7167,150.1833,Batemans Bay Marina Resort
441,Vestmannaeyjar,IS,47.5,moderate rain,63.4427,-20.2734,Glamping & Camping
443,Safford,US,79.72,clear sky,32.834,-109.7076,SpringHill Suites by Marriott Thatcher
445,Atbasar,KZ,50.49,few clouds,51.8,68.3333,Гостиничный Комплекс Saad
450,Mbuji-Mayi,CD,70.12,light rain,-6.15,23.6,HOTEL METROPOLE DU KASAI
452,Goya,AR,58.03,clear sky,-29.14,-59.2626,Apart Costanera Goya
453,Santa Maria,BR,56.5,clear sky,-29.6842,-53.8069,Hotel Morotin
455,Viseu,PT,51.85,clear sky,40.661,-7.9097,Montebelo Viseu Congress Hotel
458,Lengshuijiang,CN,51.57,overcast clouds,27.6881,111.4294,Sheraton
460,Jijiga,ET,70.7,overcast clouds,9.35,42.8,RAMAAS HOTEL
461,Gafanha Da Encarnacao,PT,56.01,clear sky,40.6181,-8.733,Hotel Barra
463,Olavarria,AR,55.67,clear sky,-36.8927,-60.3225,Hotel Santa Rosa
464,Bay City,US,48.65,broken clouds,43.5945,-83.8889,DoubleTree by Hilton Hotel Bay City - Riverfront
465,Birjand,IR,63.07,clear sky,32.8663,59.2211,Birjand Tourist Hotel
467,Vao,NC,76.89,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
468,Gualaquiza,EC,70.95,light rain,-3.4,-78.55,Hotel Merceditas
472,Hervey Bay,AU,68.02,broken clouds,-25.2986,152.8535,Shelly Bay Resort
473,Gien,FR,54.45,broken clouds,47.6933,2.6309,Hôtel la Poularde
474,Sishui,CN,48.58,overcast clouds,35.6489,117.2758,Central Garden Hotel
476,Portland,US,51.62,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
477,Bergerac,FR,58.77,clear sky,44.8333,0.5,"The Originals City, Hôtel de Bordeaux, Bergerac (Inter-Hotel)"
478,Eregli,TR,43.92,clear sky,37.5133,34.0467,Hotel Fuat Bey
479,Talcahuano,CL,53.28,overcast clouds,-36.7167,-73.1167,departamento comodo
481,Shihezi,CN,44.42,clear sky,44.3,86.0333,Home Inn Shihezi Dongwu Road Century Square
482,Cap Malheureux,MU,78.48,few clouds,-19.9842,57.6142,Pereybere Hotel & Spa
488,Iracoubo,GF,77.36,light rain,5.4802,-53.2011,Le Gîte d’Iracoubo
489,Derzhavinsk,KZ,53.65,clear sky,51.1,66.3167,Ooo.khim Baza
492,Zwedru,LR,74.73,light rain,6.0667,-8.1281,Elijah Worjloh
494,Narrabri,AU,61.52,clear sky,-30.3167,149.7833,Crossroads Hotel
495,Tatawin,TN,64.98,overcast clouds,32.9297,10.4518,Sangho Privilege Tataouine
496,College,US,46.35,clear sky,64.8569,-147.8028,Pike's Waterfront Lodge
497,Manavgat,TR,55.29,few clouds,36.7867,31.4431,Lake & River Side Hotel & Spa
498,Rawson,AR,73.35,clear sky,-43.3002,-65.1023,Hosteria Sampedro
502,Aswan,EG,75.18,clear sky,24.0934,32.907,Nuba Nile
504,Shingu,JP,62.24,overcast clouds,33.7333,135.9833,Shingu UI Hotel
505,Stornoway,GB,49.96,light intensity drizzle,58.2093,-6.3865,Caladh Inn
508,Mweka,CD,69.85,light rain,-4.85,21.5667,Guest House Boshab
509,Nelson Bay,AU,64.0,light rain,-32.7167,152.15,Mantra Nelson Bay
511,Jos,NG,69.1,light rain,9.9167,8.9,Silk Suites
513,Benghazi,LY,66.7,overcast clouds,32.1167,20.0667,Tibesti Hotel
516,Port Dover,CA,55.2,clear sky,42.7834,-80.1997,Erie Beach Hotel
518,Maldonado,UY,58.39,clear sky,-34.6667,-54.9167,La Cimarrona
520,Elliot,ZA,54.45,broken clouds,-31.3333,27.85,Rose Garden Dinner Bed and Breakfast
523,Wladyslawowo,PL,52.02,overcast clouds,54.7909,18.4009,Gwiazda Morza Resort SPA&SPORT
526,Norfolk,US,58.98,overcast clouds,42.1668,-71.2495,Residence Inn by Marriott Boston Norwood/Canton
528,Macusani,PE,44.35,scattered clouds,-14.0833,-70.4333,"Hospedaje ""Arca de Noe"""
529,Santa Cruz,BO,73.45,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
531,Taitung,TW,70.07,light intensity drizzle,22.7583,121.1444,Taitung Bali Suites Hotel
532,Conceicao Do Araguaia,BR,75.69,scattered clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
533,Karpathos,GR,57.16,overcast clouds,35.507,27.2132,Alex
534,Roald,NO,43.32,clear sky,62.5833,6.1333,Flem Cabins
535,Inhambane,MZ,77.86,overcast clouds,-23.865,35.3833,Oceano
538,Vila Velha,BR,78.75,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
539,Mvomero,TZ,72.01,overcast clouds,-6.25,38.6667,Kisampa Bush Retreat
544,Svencionys,LT,47.57,overcast clouds,55.15,26.1667,Šviesa
545,Lucapa,AO,67.24,light rain,-8.4192,20.7447,Residência Ulisses Dos Santos
546,Humberto De Campos,BR,76.95,overcast clouds,-2.5983,-43.4611,Pousada do Cabeça
547,Bethlehem,BR,77.04,light rain,-1.4558,-48.5044,Mercure Belém Boulevard
548,Kameoka,JP,59.68,overcast clouds,35.0,135.5833,Business Hotel Sun Royal
549,Mackay,AU,76.68,scattered clouds,-21.15,149.2,International Lodge Motel
550,Sri Aman,MY,77.05,overcast clouds,1.2376,111.4621,Seri Simanggang Hotel
551,Mantua,IT,58.24,few clouds,45.1667,10.7833,Hotel la Favorita
552,Road Town,VG,78.89,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
555,Cerasu,RO,46.47,clear sky,45.3167,26.0333,Coquette
556,Ionia,US,46.6,overcast clouds,42.9873,-85.0711,American Inn & Suites
557,Tamandare,BR,79.9,clear sky,-8.7597,-35.1047,Pousada 100 Passos
